Country,Minimum_Wage_Local,Currency,Wage_Period,Minimum_Wage_USD_Monthly,Year,Notes,has_minimum_wage,currency_encoded,period_encoded,curr_AFN,curr_ALL,curr_AOA,curr_ARS,curr_DZD,curr_EUR,curr_USD,curr_XAF,curr_XCD,curr_XOF,period_Hourly,period_Monthly,period_Weekly,note_has_statutory,note_has_collective,note_has_sector
Afghanistan,,AFN,,,2025,No statutory minimum wage,0,1,,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0
Albania,40000.0,ALL,Monthly,444.0,2025,National minimum wage,1,2,4.0,False,True,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Algeria,20000.0,DZD,Monthly,149.0,2025,National minimum wage (SNMG),1,33,4.0,False,False,False,False,True,False,False,False,False,False,False,True,False,1,0,0
Andorra,1376.0,EUR,Monthly,1502.0,2025,National minimum wage,1,37,4.0,False,False,False,False,False,True,False,False,False,False,False,True,False,1,0,0
Angola,70000.0,AOA,Monthly,76.0,2025,National minimum wage,1,4,4.0,False,False,True,False,False,False,False,False,False,False,False,True,False,1,0,0
Antigua and Barbuda,8.2,XCD,Hourly,36.0,2025,Hourly rate,1,133,1.0,False,False,False,False,False,False,False,False,True,False,True,False,False,0,0,0
Argentina,1030800.0,ARS,Monthly,934.0,2025,National minimum wage (SMVM),1,5,4.0,False,False,False,True,False,False,False,False,False,False,False,True,False,1,0,0
Armenia,75000.0,AMD,Monthly,194.0,2025,National minimum wage,1,3,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Australia,24.1,AUD,Hourly,1240.0,2024,National minimum wage (July 2024),1,6,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,1,0,0
Austria,,EUR,,,2025,No statutory national minimum; set by collective agreements,0,37,,False,False,False,False,False,True,False,False,False,False,False,False,False,1,1,0
Azerbaijan,400.0,AZN,Monthly,235.0,2025,National minimum wage,1,7,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Bahrain,300.0,BHD,Monthly,796.0,2025,Minimum wage for Bahraini nationals only,1,12,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Bangladesh,12500.0,BDT,Monthly,113.0,2025,Garment sector minimum wage,1,10,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,1
Barbados,8.5,BBD,Hourly,250.0,2025,National minimum wage,1,9,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,1,0,0
Belarus,626.0,BYN,Monthly,193.0,2025,National minimum wage,1,18,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Belgium,2070.48,EUR,Monthly,2259.0,2025,National minimum wage (RMMMG),1,37,4.0,False,False,False,False,False,True,False,False,False,False,False,True,False,1,0,0
Belize,3.3,BZD,Hourly,394.0,2025,National minimum wage,1,19,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,1,0,0
Benin,52000.0,XOF,Monthly,85.0,2025,National minimum wage (SMIG),1,134,4.0,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0,0
Bolivia,2362.0,BOB,Monthly,342.0,2025,National minimum wage (salario mínimo nacional),1,15,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Bosnia and Herzegovina,900.0,BAM,Monthly,501.0,2025,National minimum wage,1,8,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Botswana,6.84,BWP,Hourly,30.0,2025,Minimum wage (varies by sector),1,17,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,1
Brazil,1518.0,BRL,Monthly,272.0,2025,National minimum wage,1,16,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Brunei,,BND,,,2025,No statutory minimum wage,0,14,,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0
Bulgaria,1077.0,BGN,Monthly,601.0,2025,National minimum wage,1,11,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Burkina Faso,34664.0,XOF,Monthly,57.0,2025,National minimum wage (SMIG),1,134,4.0,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0,0
Burundi,1000.0,BIF,Monthly,0.34,2025,Daily minimum wage (extremely low),1,13,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0
Cambodia,208.0,USD,Monthly,208.0,2025,Garment sector minimum wage,1,125,4.0,False,False,False,False,False,False,True,False,False,False,False,True,False,0,0,1
Cameroon,41875.0,XAF,Monthly,69.0,2025,National minimum wage (SMIG),1,132,4.0,False,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0
Canada,17.3,CAD,Hourly,762.0,2025,Federal minimum wage (provincial rates vary),1,20,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,0
Cape Verde,15000.0,CVE,Monthly,138.0,2025,National minimum wage,1,28,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Central African Republic,8500.0,XAF,Monthly,14.0,2025,National minimum wage,1,132,4.0,False,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0
Chad,59796.0,XAF,Monthly,98.0,2025,National minimum wage (SMIG),1,132,4.0,False,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0
Chile,500000.0,CLP,Monthly,533.0,2025,National minimum wage,1,23,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
China,2690.0,CNY,Monthly,370.0,2025,Shanghai rate (highest); varies by region,1,24,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0
Colombia,1423500.0,COP,Monthly,353.0,2025,National minimum wage (salario mínimo),1,25,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Comoros,45000.0,KMF,Monthly,99.0,2025,National minimum wage,1,60,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Costa Rica,393212.0,CRC,Monthly,773.0,2025,Unskilled worker minimum wage,1,26,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0
Croatia,970.0,EUR,Monthly,1058.0,2025,National minimum wage,1,37,4.0,False,False,False,False,False,True,False,False,False,False,False,True,False,1,0,0
Cuba,2100.0,CUP,Monthly,87.0,2025,National minimum wage,1,27,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Cyprus,1000.0,EUR,Monthly,1091.0,2025,National minimum wage (introduced 2023),1,37,4.0,False,False,False,False,False,True,False,False,False,False,False,True,False,1,0,0
Czech Republic,20800.0,CZK,Monthly,920.0,2025,National minimum wage,1,29,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Democratic Republic of Congo,13608.0,CDF,Monthly,5.0,2025,National minimum wage (very low enforcement),1,21,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Denmark,,DKK,,,2025,No statutory minimum; set by collective agreements (~$44252/year),0,31,,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,0
Djibouti,35000.0,DJF,Monthly,197.0,2025,National minimum wage (SMIG),1,30,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Dominica,4.0,XCD,Hourly,888.0,2025,Hourly rate,1,133,1.0,False,False,False,False,False,False,False,False,True,False,True,False,False,0,0,0
Dominican Republic,21000.0,DOP,Monthly,359.0,2025,Private sector minimum wage,1,32,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,1
Ecuador,460.0,USD,Monthly,460.0,2025,National minimum wage (salario básico),1,125,4.0,False,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0
Egypt,7000.0,EGP,Monthly,143.0,2025,National minimum wage,1,34,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
El Salvador,365.0,USD,Monthly,365.0,2024,Manufacturing sector,1,125,4.0,False,False,False,False,False,False,True,False,False,False,False,True,False,0,0,1
Equatorial Guinea,129035.0,XAF,Monthly,212.0,2025,National minimum wage,1,132,4.0,False,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0
Eritrea,,ERN,,44.0,2025,Government employees only,1,35,,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0
Estonia,886.0,EUR,Monthly,966.0,2025,National minimum wage,1,37,4.0,False,False,False,False,False,True,False,False,False,False,False,True,False,1,0,0
Ethiopia,,ETB,,75.0,2025,Public sector only; no universal minimum wage,1,36,,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,1
Fiji,4.0,FJD,Hourly,107.0,2025,National minimum wage,1,38,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,1,0,0
Finland,,EUR,,,2025,No statutory minimum; set by collective agreements,0,37,,False,False,False,False,False,True,False,False,False,False,False,False,False,1,1,0
France,1801.8,EUR,Monthly,1965.0,2025,SMIC (salaire minimum interprofessionnel de croissance),1,37,4.0,False,False,False,False,False,True,False,False,False,False,False,True,False,0,0,0
Gabon,150000.0,XAF,Monthly,246.0,2025,National minimum wage (SMIG),1,132,4.0,False,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0
Georgia,20.0,GEL,Monthly,7.0,2025,Nominal; widely considered inadequate,1,40,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0
Germany,12.82,EUR,Hourly,2225.0,2025,National minimum wage (Mindestlohn),1,37,1.0,False,False,False,False,False,True,False,False,False,False,True,False,False,1,0,0
Ghana,18.15,GHS,Daily,33.0,2025,National daily minimum wage,1,41,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0
Greece,968.33,EUR,Monthly,1056.0,2025,National minimum wage,1,37,4.0,False,False,False,False,False,True,False,False,False,False,False,True,False,1,0,0
Grenada,9.0,XCD,Hourly,1969.0,2025,Hourly minimum wage,1,133,1.0,False,False,False,False,False,False,False,False,True,False,True,False,False,0,0,0
Guatemala,3359.46,GTQ,Monthly,437.0,2025,Non-agricultural sector,1,43,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,1
Guinea,440000.0,GNF,Monthly,47.0,2025,National minimum wage (SMIG),1,42,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Guinea-Bissau,19030.0,XOF,Monthly,31.0,2025,National minimum wage,1,134,4.0,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0,0
Guyana,70000.0,GYD,Monthly,335.0,2025,Public sector minimum wage,1,44,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,1
Haiti,875.0,HTG,Daily,38.0,2025,Daily minimum wage (non-industrial),1,47,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0
Honduras,10643.43,HNL,Monthly,428.0,2025,National minimum wage,1,46,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Hong Kong,40.0,HKD,Hourly,308.0,2025,Statutory Minimum Wage,1,45,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,1,0,0
Hungary,290800.0,HUF,Monthly,803.0,2025,National minimum wage,1,48,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Iceland,,ISK,,,2025,No statutory minimum; set by collective agreements,0,54,,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,0
India,,INR,,,2025,Varies widely by state and sector (no national minimum),0,51,,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,1
Indonesia,5396700.0,IDR,Monthly,336.0,2025,National minimum wage (varies by province; Jakarta rate),1,49,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Iran,20735000.0,IRR,Monthly,492.0,2025,National minimum wage,1,53,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Iraq,500000.0,IQD,Monthly,382.0,2025,National minimum wage,1,52,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Ireland,13.5,EUR,Hourly,2106.0,2025,National minimum wage,1,37,1.0,False,False,False,False,False,True,False,False,False,False,True,False,False,1,0,0
Israel,5571.75,ILS,Monthly,1526.0,2025,National minimum wage,1,50,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Italy,,EUR,,,2025,No statutory minimum; set by collective agreements,0,37,,False,False,False,False,False,True,False,False,False,False,False,False,False,1,1,0
Ivory Coast,60000.0,XOF,Monthly,98.0,2025,National minimum wage (SMIG),1,134,4.0,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0,0
Jamaica,15000.0,JMD,Weekly,481.0,2025,National minimum wage (weekly),1,55,3.0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0,0
Japan,1055.0,JPY,Hourly,417.0,2025,National minimum wage (weighted average),1,57,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,1,0,0
Jordan,260.0,JOD,Monthly,367.0,2025,National minimum wage,1,56,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Kazakhstan,85000.0,KZT,Monthly,190.0,2025,National minimum wage,1,64,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Kenya,15201.0,KES,Monthly,117.0,2025,General labor minimum wage,1,58,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0
Kosovo,264.0,EUR,Monthly,288.0,2025,National minimum wage,1,37,4.0,False,False,False,False,False,True,False,False,False,False,False,True,False,1,0,0
Kuwait,75.0,KWD,Monthly,245.0,2025,For Kuwaiti nationals only,1,63,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Kyrgyzstan,2949.48,KGS,Monthly,34.0,2025,National minimum wage,1,59,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Laos,1600000.0,LAK,Monthly,75.0,2025,National minimum wage,1,65,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Latvia,740.0,EUR,Monthly,807.0,2025,National minimum wage,1,37,4.0,False,False,False,False,False,True,False,False,False,False,False,True,False,1,0,0
Lebanon,9000000.0,LBP,Monthly,100.0,2025,National minimum wage (devalued currency),1,66,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Lesotho,2458.0,LSL,Monthly,133.0,2025,Minimum wage for unskilled workers,1,68,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0
Libya,750.0,LYD,Monthly,156.0,2025,National minimum wage,1,69,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Lithuania,1038.0,EUR,Monthly,1132.0,2025,National minimum wage,1,37,4.0,False,False,False,False,False,True,False,False,False,False,False,True,False,1,0,0
Luxembourg,2637.0,EUR,Monthly,2876.0,2025,National minimum wage (highest in EU),1,37,4.0,False,False,False,False,False,True,False,False,False,False,False,True,False,1,0,0
Madagascar,432000.0,MGA,Monthly,97.0,2025,National minimum wage (SMIG),1,72,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Malawi,50000.0,MWK,Monthly,29.0,2025,National minimum wage,1,79,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Malaysia,1700.0,MYR,Monthly,383.0,2025,National minimum wage,1,81,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Maldives,4866.0,MVR,Monthly,316.0,2025,National minimum wage,1,78,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Mali,40000.0,XOF,Monthly,65.0,2025,National minimum wage (SMIG),1,134,4.0,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0,0
Malta,214.55,EUR,Weekly,936.0,2025,National minimum wage (weekly),1,37,3.0,False,False,False,False,False,True,False,False,False,False,False,False,True,1,0,0
Marshall Islands,,USD,,,2025,No national minimum wage,0,125,,False,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0
Mauritania,30000.0,MRU,Monthly,799.0,2025,National minimum wage (SMIG),1,76,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Mauritius,9700.0,MUR,Monthly,215.0,2025,National minimum wage,1,77,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Mexico,278.8,MXN,Daily,470.0,2025,National daily minimum wage,1,80,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0
Moldova,5000.0,MDL,Monthly,285.0,2025,National minimum wage,1,71,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Monaco,13.78,EUR,Hourly,2390.0,2025,National minimum wage (aligned with France's SMIC),1,37,1.0,False,False,False,False,False,True,False,False,False,False,True,False,False,1,0,0
Mongolia,660000.0,MNT,Monthly,193.0,2025,National minimum wage,1,75,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Montenegro,600.0,EUR,Monthly,654.0,2025,National minimum wage,1,37,4.0,False,False,False,False,False,True,False,False,False,False,False,True,False,1,0,0
Morocco,17.1,MAD,Hourly,511.0,2025,National minimum wage (SMIG; industry rate),1,70,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,1,0,1
Mozambique,5740.0,MZN,Monthly,90.0,2025,Minimum wage for unskilled workers,1,82,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0
Myanmar,4800.0,MMK,Daily,69.0,2025,National daily minimum wage,1,74,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0
Namibia,18.68,NAD,Hourly,60.0,2025,Minimum wage for domestic workers,1,83,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,0
Nepal,17300.0,NPR,Monthly,130.0,2025,National minimum wage,1,87,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Netherlands,13.68,EUR,Hourly,2373.0,2025,National minimum wage,1,37,1.0,False,False,False,False,False,True,False,False,False,False,True,False,False,1,0,0
New Zealand,23.15,NZD,Hourly,845.0,2025,National minimum wage,1,88,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,1,0,0
Nicaragua,7905.06,NIO,Monthly,215.0,2025,National minimum wage,1,85,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Niger,42756.0,XOF,Monthly,70.0,2025,National minimum wage (SMIG),1,134,4.0,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0,0
Nigeria,70000.0,NGN,Monthly,44.0,2025,National minimum wage (new 2024 rate),1,84,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
North Korea,,KPW,,,2025,State-directed economy; no market minimum wage,0,61,,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0
Norway,,NOK,,,2025,No statutory minimum; set by collective agreements,0,86,,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,0
Oman,325.0,OMR,Monthly,845.0,2025,For Omani nationals only,1,89,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Pakistan,37000.0,PKR,Monthly,133.0,2025,National minimum wage,1,94,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Palau,,USD,,,2025,No national minimum wage,0,125,,False,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0
Panama,1.17,PAB,Hourly,203.0,2025,Non-commercial sector hourly minimum wage,1,90,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,1
Papua New Guinea,3.5,PGK,Hourly,60.0,2025,National minimum wage,1,92,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,1,0,0
Paraguay,2550325.0,PYG,Monthly,350.0,2025,National minimum wage,1,96,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Peru,1130.0,PEN,Monthly,301.0,2025,National minimum wage (RMV),1,91,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Philippines,610.0,PHP,Daily,330.0,2025,National Capital Region daily rate,1,93,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0
Poland,4666.0,PLN,Monthly,1161.0,2025,National minimum wage,1,95,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Portugal,1020.0,EUR,Monthly,1112.0,2025,National minimum wage,1,37,4.0,False,False,False,False,False,True,False,False,False,False,False,True,False,1,0,0
Qatar,1000.0,QAR,Monthly,275.0,2025,National minimum wage (for all workers),1,97,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Republic of Macedonia (North Macedonia),20000.0,MKD,Monthly,328.0,2025,National minimum wage,1,73,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Republic of the Congo,90000.0,XAF,Monthly,148.0,2025,National minimum wage (SMIG),1,132,4.0,False,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0
Romania,4050.0,RON,Monthly,858.0,2025,National minimum wage,1,98,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Russia,22440.0,RUB,Monthly,248.0,2025,National minimum wage (MROT),1,100,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Rwanda,,RWF,,,2025,No national minimum wage,0,101,,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0
Saint Kitts and Nevis,9.0,XCD,Hourly,1999.0,2025,Hourly minimum wage,1,133,1.0,False,False,False,False,False,False,False,False,True,False,True,False,False,0,0,0
Saint Lucia,300.0,XCD,Monthly,111.0,2025,National minimum wage,1,133,4.0,False,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0
Saint Vincent and the Grenadines,6.0,XCD,Hourly,1335.0,2025,Hourly minimum wage,1,133,1.0,False,False,False,False,False,False,False,False,True,False,True,False,False,0,0,0
Samoa,3.0,WST,Hourly,67.0,2025,National minimum wage,1,131,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,1,0,0
San Marino,1400.0,EUR,Monthly,1527.0,2025,National minimum wage,1,37,4.0,False,False,False,False,False,True,False,False,False,False,False,True,False,1,0,0
Sao Tome and Principe,1300000.0,STN,Monthly,57.0,2025,National minimum wage,1,112,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Saudi Arabia,4000.0,SAR,Monthly,1067.0,2025,For Saudi nationals only,1,102,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Senegal,63813.0,XOF,Monthly,104.0,2025,National minimum wage (SMIG),1,134,4.0,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0,0
Serbia,72030.0,RSD,Monthly,619.0,2025,National minimum wage,1,99,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Seychelles,4555.0,SCR,Monthly,333.0,2025,National minimum wage,1,104,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Sierra Leone,800000.0,SLL,Monthly,24.0,2025,National minimum wage,1,108,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Singapore,,SGD,,,2025,No national minimum wage (Progressive Wage Model for some sectors),0,107,,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,1
Slovakia,816.0,EUR,Monthly,890.0,2025,National minimum wage,1,37,4.0,False,False,False,False,False,True,False,False,False,False,False,True,False,1,0,0
Slovenia,1253.9,EUR,Monthly,1368.0,2025,National minimum wage,1,37,4.0,False,False,False,False,False,True,False,False,False,False,False,True,False,1,0,0
Solomon Islands,4.0,SBD,Hourly,30.0,2025,National minimum wage,1,103,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,1,0,0
Somalia,,SOS,,,2025,No effective national minimum wage,0,109,,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0
South Africa,28.79,ZAR,Hourly,95.0,2025,National minimum wage,1,136,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,1,0,0
South Korea,10030.0,KRW,Hourly,437.0,2025,National minimum wage,1,62,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,1,0,0
South Sudan,,SSP,,,2025,No effective minimum wage,0,111,,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0
Spain,1184.0,EUR,Monthly,1292.0,2025,National minimum wage (SMI),1,37,4.0,False,False,False,False,False,True,False,False,False,False,False,True,False,1,0,0
Sri Lanka,21000.0,LKR,Monthly,70.0,2025,National minimum wage,1,67,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0
Sudan,,SDG,,,2025,Hyperinflation renders nominal rates ineffective,0,105,,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0
Suriname,,SRD,,,2025,No national minimum wage,0,110,,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0
Swaziland (Eswatini),14.1,SZL,Hourly,36.0,2025,Minimum wage for domestic workers,1,114,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,0
Sweden,,SEK,,,2025,No statutory minimum; set by collective agreements,0,106,,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,0
Switzerland,,CHF,,,2025,No national minimum; Geneva canton highest at CHF 24.32/hour,0,22,,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0
Syria,,SYP,,,2025,Conflict-affected; nominal minimum wage not enforced,0,113,,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0
